Die level pin name;LPDDR4;DDR4;DDR3L;BALL
DRAM_DQS0_P;DQS0_t_A;DQSL_t_A;DQSL_A;AC24
DRAM_DQS0_N;DQS0_C_A;DQSL_C_A;DQSL#_A;AC25
DRAM_DM0;DMI0_A;DML_N_A / DBIL_n_A;DML_A;AD23
DRAM_DQ00;DQ0_A;DQL0_A;DQL0_A;AE23
DRAM_DQ01;DQ1_A;DQL1_A;DQL1_A;AD24
DRAM_DQ02;DQ2_A;DQL2_A;DQL2_A;AE22
DRAM_DQ03;DQ3_A;DQL3_A;DQL3_A;AD22
DRAM_DQ04;DQ4_A;DQL4_A;DQL4_A;AA24
DRAM_DQ05;DQ5_A;DQL5_A;DQL5_A;Y25
DRAM_DQ06;DQ6_A;DQL6_A;DQL6_A;AA25
DRAM_DQ07;DQ7_A;DQL7_A;DQL7_A;AB25
DRAM_DQS1_P;DQS1_t_A;DQSU_t_A;DQSU_A;AB21
DRAM_DQS1_N;DQS1_c_A;DQSU_c_A;DQSU#_A;AC21
DRAM_DM1;DMI1_A;DMU_n_A / DBIU_n_A;DMU_A;AB20
DRAM_DQ08;DQ08_A;DQU0_A;DQU0_A;AB22
DRAM_DQ09;DQ09_A;DQU1_A;DQU1_A;AA22
DRAM_DQ10;DQ10_A;DQU2_A;DQU2_A;AA23
DRAM_DQ11;DQ11_A;DQU3_A;DQU3_A;AA20
DRAM_DQ12;DQ12_A;DQU4_A;DQU4_A;AA18
DRAM_DQ13;DQ13_A;DQU5_A;DQU5_A;AB19
DRAM_DQ14;DQ14_A;DQU6_A;DQU6_A;AA19
DRAM_DQ15;DQ15_A;DQU7_A;DQU7_A;AA17
DRAM_DQS2_P;DQS0_t_B;DQSL_t_B;DQSL_B;AC2
DRAM_DQS2_N;DQS0_c_B;DQSL_c_B;DQSL#_B;AC1
DRAM_DM2;DMI0_B;DML_n_B / DBIL_n_B;DML_B;AD3
DRAM_DQ16;DQ0_B;DQL0_B;DQL0_B;AE3
DRAM_DQ17;DQ1_B;DQL1_B;DQL1_B;AD2
DRAM_DQ18;DQ2_B;DQL2_B;DQL2_B;AE4
DRAM_DQ19;DQ3_B;DQL3_B;DQL3_B;AD4
DRAM_DQ20;DQ4_B;DQL4_B;DQL4_B;AA2
DRAM_DQ20;DQ4_B;DQL4_B;DQL4_B;AA2
DRAM_DQ21;DQ5_B;DQL5_B;DQL5_B;Y1
DRAM_DQ22;DQ6_B;DQL6_B;DQL6_B;AA1
DRAM_DQ23;DQ7_B;DQL7_B;DQL7_B;AB1
DRAM_DQS3_P;DQS1_t_B;DQSU_t_B;DQSU_B;AB5
DRAM_DQS3_N;DQS1_c_B;DQSU_c_B;DQSU#_B;AC5
DRAM_DM3;DMI1_B;DMU_n_B / DBIU_n_B;DMU_B;AB6
DRAM_DQ24;DQ08_B;DQU0_B;DQU0_B;AB4
DRAM_DQ25;DQ09_B;DQU1_B;DQU1_B;AA4
DRAM_DQ26;DQ10_B;DQU2_B;DQU2_B;AA3
DRAM_DQ27;DQ11_B;DQU3_B;DQU3_B;AA6
DRAM_DQ28;DQ12_B;DQU4_B;DQU4_B;AA8
DRAM_DQ29;DQ13_B;DQU5_B;DQU5_B;AB7
DRAM_DQ30;DQ14_B;DQU6_B;DQU6_B;AA7
DRAM_DQ31;DQ15_B;DQU7_B;DQU7_B;AA9
DRAM_RESET_N;RESET_N;RESET_N;RESET#;AB13
DRAM_ALERT_N;MTEST1;ALERT_n / MTEST1;MTEST1;AC13
DRAM_AC00;CKE0_A;CKE0;CKE0;AC16
DRAM_AC01;CKE1_A;CKE1;CKE1;AE17
DRAM_AC02;CS0_A;CS0_n;CS0#;AE18
DRAM_AC03;CS1_A;C0;—;AC18
DRAM_AC04;CK_t_A;BG0;BA2;AD14
DRAM_AC05;CK_c_A;BG1;A14;AE14
DRAM_AC06;—;ACT_n;A15;AE13
DRAM_AC07;—;A9;A9;AB15
DRAM_AC08;CA0_A;A12;A12 / BC#;AD17
DRAM_AC09;CA1_A;A11;A11;AE16
DRAM_AC10;CA2_A;A7;A7;AD20
DRAM_AC11;CA3_A;A8;A8;AE20
DRAM_AC12;CA4_A;A6;A6;AD19
DRAM_AC13;CA5_A;A5;A5;AE19
DRAM_AC14;—;A4;A4;AB16
DRAM_AC15;—;A3;A3;AC15
DRAM_AC16;—;CK_t_A;CK_A;AE15
DRAM_AC17;—;CK_c_A;CK#_A;AD15
DRAM_AC19;MTEST;MTEST;MTEST;AB14
DRAM_AC20;CKE0_B;CK_t_B;CK_B;AD10
DRAM_AC21;CKE1_B;CK_c_B;CK#_B;AE10
DRAM_AC22;CS1_B;—;—;AD8
DRAM_AC23;CS0_B;—;—;AC9
DRAM_AC24;CK_t_B;A2;A2;AD12
DRAM_AC25;CK_c_B;A1;A1;AE12
DRAM_AC26;—;BA1;BA1;AB12
DRAM_AC27;—;PARITY;—;AA12
DRAM_AC28;CA2_B;A13;A13;AC7
DRAM_AC29;CA3_B;BA0;BA0;AE7
DRAM_AC30;CA4_B;A10 / AP;A10 / AP;AE6
DRAM_AC31;CA5_B;A0;A0;AD6
DRAM_AC32;CA0_B;C2;—;AE8
DRAM_AC33;CA1_B;CAS_n / A15;CAS#;AE9
DRAM_AC34;—;WE_n / A14;WE#;AC10
DRAM_AC35;—;RAS_n / A16;RAS#;AB10
DRAM_AC36;—;ODT0;ODT0;AC12
DRAM_AC37;—;ODT1;ODT1;AE11
DRAM_AC38;—;CS1_n;CS1#;AC11
DRAM_ZN;ZQ;ZQ;ZQ;AA13
DRAM_VREF;VREF;VREF;VREF;AA14
